Date,Open,High,Low,Close,Volume
2019-08-20 06:00:00,106.5455,106.553,106.429,106.4945,3366
2019-08-20 07:00:00,106.4935,106.494,106.392,106.465,4447
2019-08-20 08:00:00,106.464,106.471,106.398,106.4275,3252
2019-08-20 09:00:00,106.429,106.438,106.299,106.327,3727
2019-08-20 10:00:00,106.328,106.38,106.304,106.3235,2350
2019-08-20 11:00:00,106.3245,106.357,106.299,106.348,2469
2019-08-20 12:00:00,106.347,106.4,106.234,106.271,3810
2019-08-20 13:00:00,106.272,106.446,106.164,106.3,8469
2019-08-20 14:00:00,106.2985,106.466,106.279,106.3105,7697
2019-08-20 15:00:00,106.309,106.388,106.303,106.354,4118
2019-08-20 16:00:00,106.355,106.375,106.301,106.313,1972
2019-08-20 17:00:00,106.3115,106.326,106.252,106.282,2232
2019-08-20 18:00:00,106.2805,106.358,106.248,106.314,2020
2019-08-20 19:00:00,106.3125,106.32,106.2,106.2025,2514
2019-08-20 20:00:00,106.2045,106.257,106.196,106.232,1289
2019-08-20 21:00:00,106.236,106.278,106.23,106.244,243
2019-08-20 22:00:00,106.247,106.292,106.238,106.275,870
2019-08-20 23:00:00,106.276,106.292,106.25,106.2735,971
2019-08-21 00:00:00,106.275,106.392,106.275,106.329,2951
2019-08-21 01:00:00,106.33,106.44,106.324,106.418,2804
2019-08-21 02:00:00,106.417,106.504,106.414,106.4885,2892
2019-08-21 03:00:00,106.49,106.552,106.466,106.483,2066
2019-08-21 04:00:00,106.482,106.488,106.454,106.4665,1186
2019-08-21 05:00:00,106.4675,106.53,106.457,106.518,1391
2019-08-21 06:00:00,106.519,106.584,106.463,106.5665,2796
2019-08-21 07:00:00,106.5645,106.599,106.538,106.5485,3329
2019-08-21 08:00:00,106.55,106.559,106.508,106.534,2776
2019-08-21 09:00:00,106.535,106.537,106.47,106.484,2885
2019-08-21 10:00:00,106.485,106.486,106.42,106.4485,2432
2019-08-21 11:00:00,106.4475,106.5,106.422,106.499,1834
2019-08-21 12:00:00,106.497,106.512,106.4355,106.47,2419
2019-08-21 13:00:00,106.471,106.474,106.4085,106.416,2791
2019-08-21 14:00:00,106.415,106.48,106.348,106.4675,4126
2019-08-21 15:00:00,106.466,106.598,106.437,106.5335,3220
2019-08-21 16:00:00,106.5345,106.556,106.45,106.451,2842
2019-08-21 17:00:00,106.4525,106.535,106.442,106.535,1698
2019-08-21 18:00:00,106.5335,106.609,106.415,106.588,6680
2019-08-21 19:00:00,106.587,106.647,106.574,106.6255,3977
2019-08-21 20:00:00,106.6275,106.644,106.578,106.6185,775
2019-08-21 21:00:00,106.6255,106.628,106.582,106.5895,100
2019-08-21 22:00:00,106.588,106.6,106.554,106.5815,812
2019-08-21 23:00:00,106.58,106.616,106.578,106.6035,867
2019-08-22 00:00:00,106.6025,106.654,106.548,106.5985,2691
2019-08-22 01:00:00,106.5975,106.598,106.457,106.478,2674
2019-08-22 02:00:00,106.4765,106.494,106.422,106.422,2135
2019-08-22 03:00:00,106.42,106.4625,106.404,106.448,1376
2019-08-22 04:00:00,106.446,106.491,106.424,106.445,1393
2019-08-22 05:00:00,106.4465,106.453,106.408,106.4315,1778
2019-08-22 06:00:00,106.4325,106.435,106.294,106.336,3043
2019-08-22 07:00:00,106.337,106.48,106.326,106.444,7016
2019-08-22 08:00:00,106.445,106.46,106.356,106.397,3648
2019-08-22 09:00:00,106.3955,106.404,106.252,106.3725,4729
2019-08-22 10:00:00,106.3735,106.448,106.349,106.4485,2823
2019-08-22 11:00:00,106.4495,106.595,106.422,106.582,4352
2019-08-22 12:00:00,106.5805,106.639,106.492,106.582,5086
2019-08-22 13:00:00,106.583,106.587,106.322,106.3965,7191
2019-08-22 14:00:00,106.3975,106.546,106.36,106.4765,9410
2019-08-22 15:00:00,106.475,106.516,106.433,106.447,4534
2019-08-22 16:00:00,106.4485,106.504,106.44,106.441,2445
2019-08-22 17:00:00,106.442,106.454,106.372,106.3975,2032
2019-08-22 18:00:00,106.399,106.423,106.362,106.4145,1966
2019-08-22 19:00:00,106.416,106.428,106.378,106.403,2552
2019-08-22 20:00:00,106.404,106.45,106.399,106.44,1402
2019-08-22 21:00:00,106.432,106.442,106.396,106.421,99
2019-08-22 22:00:00,106.4185,106.453,106.41,106.4425,347
2019-08-22 23:00:00,106.444,106.49,106.431,106.4785,1280
2019-08-23 00:00:00,106.477,106.62,106.468,106.578,3762
2019-08-23 01:00:00,106.579,106.6,106.532,106.563,4039
2019-08-23 02:00:00,106.562,106.572,106.483,106.5545,2087
2019-08-23 03:00:00,106.556,106.59,106.547,106.5685,1512
2019-08-23 04:00:00,106.5675,106.605,106.562,106.594,1722
2019-08-23 05:00:00,106.595,106.652,106.568,106.6285,1987
